Sentence;TargetWord;Surprisal
Kim recommended Shakespeare to everyone after she saw Hamlet .;everyone;13.581513404846191
Kim recommended Shakespeare everyone after she saw Hamlet .;everyone;22.506532669067383
Kim recommended Shakespeare to signs after she saw Hamlet .;signs;18.70535659790039
Kim recommended Shakespeare signs after she saw Hamlet .;signs;19.62832260131836
The chef entrusted the recipe to relatives before he left Italy .;relatives;16.326135635375977
The chef entrusted the recipe relatives before he left Italy .;relatives;23.025068283081055
The chef entrusted the recipe to carrots before he left Italy .;carrots;17.79854393005371
The chef entrusted the recipe carrots before he left Italy .;carrots;21.355173110961914
Karen submitted the article to Richard after she made corrections .;Richard;8.98831844329834
Karen submitted the article Richard after she made corrections .;Richard;17.304180145263672
Karen submitted the article to blankets after she made corrections .;blankets;22.363901138305664
Karen submitted the article blankets after she made corrections .;blankets;22.77080726623535
The mayor dedicated the award to veterans for their national loyalty .;veterans;11.862948417663574
The mayor dedicated the award veterans for their national loyalty .;veterans;21.613630294799805
The mayor dedicated the award to bronze for their national loyalty .;bronze;16.0485897064209
The mayor dedicated the award bronze for their national loyalty .;bronze;17.2052001953125
Jennifer proved something to everyone by solving the equation .;everyone;9.156944274902344
Jennifer proved something everyone by solving the equation .;everyone;17.41730499267578
Jennifer proved something to platforms by solving the equation .;platforms;28.031293869018555
Jennifer proved something platforms by solving the equation .;platforms;25.95081901550293
The minister explained the passage to worshipers during his lengthy sermon .;worshipers;22.36933708190918
The minister explained the passage worshipers during his lengthy sermon .;worshipers;26.02130126953125
The minister explained the passage to watermelon during his lengthy sermon .;watermelon;23.159130096435547
The minister explained the passage watermelon during his lengthy sermon .;watermelon;24.96796417236328
Catherine delivered the package to someone in the early evening .;someone;9.096583366394043
Catherine delivered the package someone in the early evening .;someone;19.55635643005371
Catherine delivered the package to traditions in the early evening .;traditions;20.930923461914062
Catherine delivered the package traditions in the early evening .;traditions;21.148563385009766
The doctor referred the patient to specialists when he complained of pain .;specialists;14.286266326904297
The doctor referred the patient specialists when he complained of pain .;specialists;19.97736930847168
The doctor referred the patient to arthritis when he complained of pain .;arthritis;15.542179107666016
The doctor referred the patient arthritis when he complained of pain .;arthritis;23.413999557495117
The bartender suggested a drink to customers while they read the menu .;customers;9.061809539794922
The bartender suggested a drink customers while they read the menu .;customers;18.869237899780273
The bartender suggested a drink to glasses while they read the menu .;glasses;17.98208236694336
The bartender suggested a drink glasses while they read the menu .;glasses;20.051292419433594
Beth mentioned her plans to friends before telling her father .;friends;16.899883270263672
Beth mentioned her plans friends before telling her father .;friends;21.885225296020508
