Sentence;TargetWord;Surprisal
Most prosecutors accuse defendants of committing a crime .;defendants;8.844419479370117
Few prosecutors accuse defendants of committing a crime .;defendants;9.768214225769043
Most prosecutors accuse sheriffs of committing a crime .;sheriffs;16.288105010986328
Few prosecutors accuse sheriffs of committing a crime .;sheriffs;16.13208770751953
Almost all groupies follow singers around the country .;singers;17.36898422241211
Almost no groupies follow singers around the country .;singers;18.831220626831055
Almost all groupies follow boys around the country .;boys;16.33868408203125
Almost no groupies follow boys around the country .;boys;17.169530868530273
Practically all postmen carry mail in their satchel .;mail;10.026657104492188
Practically no postmen carry mail in their satchel .;mail;12.54872989654541
Practically all postmen carry oil in their satchel .;oil;12.0804443359375
Practically no postmen carry oil in their satchel .;oil;12.956398010253906
A large number of kittens chase mice if given the chance .;mice;9.296749114990234
A small number of kittens chase mice if given the chance .;mice;9.502726554870605
A large number of kittens chase flies if given the chance .;flies;10.557209968566895
A small number of kittens chase flies if given the chance .;flies;10.492764472961426
Nearly all doctors treat cancer as a serious condition .;cancer;7.774839401245117
Rather few doctors treat cancer as a serious condition .;cancer;9.727326393127441
Nearly all doctors treat hunger as a serious condition .;hunger;12.844621658325195
Rather few doctors treat hunger as a serious condition .;hunger;14.779881477355957
Lots of chefs cook pancakes for breakfast at roadside diners .;pancakes;12.510014533996582
Hardly any chefs cook pancakes for breakfast at roadside diners .;pancakes;15.968764305114746
Lots of chefs cook pears for breakfast at roadside diners .;pears;16.638561248779297
Hardly any chefs cook pears for breakfast at roadside diners .;pears;18.573007583618164
A lot of boxers fight opponents in cities where there are large crowds .;opponents;12.304291725158691
A very few boxers fight opponents in cities where there are large crowds .;opponents;12.296628952026367
A lot of boxers fight lawsuits in cities where there are large crowds .;lawsuits;17.76605987548828
A very few boxers fight lawsuits in cities where there are large crowds .;lawsuits;17.05522918701172
Many archaeologists find artifacts when they excavate ancient cities .;artifacts;8.514657974243164
Few archaeologists find artifacts when they excavate ancient cities .;artifacts;8.49728012084961
Many archaeologists find gold when they excavate ancient cities .;gold;10.305563926696777
Few archaeologists find gold when they excavate ancient cities .;gold;10.421083450317383
Most farmers grow crops as their primary source of cash .;crops;6.672993183135986
Few farmers grow crops as their primary source of cash .;crops;5.166041851043701
