SentenceFrame,Typicality,QuantifierType,Sentence
Frame1,Typical,Most,Most prosecutors accuse defendants of committing a crime .
Frame1,Typical,Few,Few prosecutors accuse defendants of committing a crime .
Frame1,Atypical,Most,Most prosecutors accuse sheriffs of committing a crime .
Frame1,Atypical,Few,Few prosecutors accuse sheriffs of committing a crime .
Frame2,Typical,Most,Almost all groupies follow singers around the country .
Frame2,Typical,Few,Almost no groupies follow singers around the country .
Frame2,Atypical,Most,Almost all groupies follow boys around the country .
Frame2,Atypical,Few,Almost no groupies follow boys around the country .
Frame3,Typical,Most,Practically all postmen carry mail in their satchel .
Frame3,Typical,Few,Practically no postmen carry mail in their satchel .
Frame3,Atypical,Most,Practically all postmen carry oil in their satchel .
Frame3,Atypical,Few,Practically no postmen carry oil in their satchel .
Frame4,Typical,Most,A large number of kittens chase mice if given the chance .
Frame4,Typical,Few,A small number of kittens chase mice if given the chance .
Frame4,Atypical,Most,A large number of kittens chase flies if given the chance .
Frame4,Atypical,Few,A small number of kittens chase flies if given the chance .
Frame5,Typical,Most,Nearly all doctors treat cancer as a serious condition .
Frame5,Typical,Few,Rather few doctors treat cancer as a serious condition .
Frame5,Atypical,Most,Nearly all doctors treat hunger as a serious condition .
Frame5,Atypical,Few,Rather few doctors treat hunger as a serious condition .
Frame6,Typical,Most,Lots of chefs cook pancakes for breakfast at roadside diners .
Frame6,Typical,Few,Hardly any chefs cook pancakes for breakfast at roadside diners .
Frame6,Atypical,Most,Lots of chefs cook pears for breakfast at roadside diners .
Frame6,Atypical,Few,Hardly any chefs cook pears for breakfast at roadside diners .
Frame7,Typical,Most,A lot of boxers fight opponents in cities where there are large crowds .
Frame7,Typical,Few,A very few boxers fight opponents in cities where there are large crowds .
Frame7,Atypical,Most,A lot of boxers fight lawsuits in cities where there are large crowds .
Frame7,Atypical,Few,A very few boxers fight lawsuits in cities where there are large crowds .
Frame8,Typical,Most,Many archaeologists find artifacts when they excavate ancient cities .
Frame8,Typical,Few,Few archaeologists find artifacts when they excavate ancient cities .
Frame8,Atypical,Most,Many archaeologists find gold when they excavate ancient cities .
Frame8,Atypical,Few,Few archaeologists find gold when they excavate ancient cities .
Frame9,Typical,Most,Most farmers grow crops as their primary source of cash .
Frame9,Typical,Few,Few farmers grow crops as their primary source of cash .
Frame9,Atypical,Most,Most farmers grow worms as their primary source of cash .
Frame9,Atypical,Few,Few farmers grow worms as their primary source of cash .
Frame10,Typical,Most,Almost all veterinarians help animals when they get injured .
Frame10,Typical,Few,Almost no veterinarians help animals when they get injured .
Frame10,Atypical,Most,Almost all veterinarians help coyotes when they get injured .
Frame10,Atypical,Few,Almost no veterinarians help coyotes when they get injured .
Frame11,Typical,Most,Practically all lions hunt gazelles as they prowl the savanah .
Frame11,Typical,Few,Practically no lions hunt gazelles as they prowl the savanah .
Frame11,Atypical,Most,Practically all lions hunt bears as they prowl the savanah .
Frame11,Atypical,Few,Practically no lions hunt bears as they prowl the savanah .
Frame12,Typical,Most,A large number of brides kiss grooms during their wedding ceremony .
Frame12,Typical,Few,A small number of brides kiss grooms during their wedding ceremony .
Frame12,Atypical,Most,A large number of brides kiss babies during their wedding ceremony .
Frame12,Atypical,Few,A small number of brides kiss babies during their wedding ceremony .
Frame13,Typical,Most,Nearly all artists paint portraits to pay their bills .
Frame13,Typical,Few,Rather few artists paint portraits to pay their bills .
Frame13,Atypical,Most,Nearly all artists paint maps to pay their bills .
Frame13,Atypical,Few,Rather few artists paint maps to pay their bills .
Frame14,Typical,Most,Lots of historians study articles written by their colleagues .
Frame14,Typical,Few,Hardly any historians study articles written by their colleagues .
Frame14,Atypical,Most,Lots of historians study poetry written by their colleagues .
Frame14,Atypical,Few,Hardly any historians study poetry written by their colleagues .
Frame15,Typical,Most,A lot of authors write books to make a living .
Frame15,Typical,Few,A very few authors write books to make a living .
Frame15,Atypical,Most,A lot of authors write lists to make a living .
Frame15,Atypical,Few,A very few authors write lists to make a living .
Frame16,Typical,Most,Many bands record albums throughout their careers .
Frame16,Typical,Few,Few bands record albums throughout their careers .
Frame16,Atypical,Most,Many bands record hits throughout their careers .
Frame16,Atypical,Few,Few bands record hits throughout their careers .
Frame17,Typical,Most,Most cats scratch furniture if they are not declawed .
Frame17,Typical,Few,Few cats scratch furniture if they are not declawed .
Frame17,Atypical,Most,Most cats scratch walls if they are not declawed .
Frame17,Atypical,Few,Few cats scratch walls if they are not declawed .
Frame18,Typical,Most,Almost all janitors clean floors after cleaning everything else .
Frame18,Typical,Few,Almost no janitors clean floors after cleaning everything else .
Frame18,Atypical,Most,Almost all janitors clean dishes after cleaning everything else .
Frame18,Atypical,Few,Almost no janitors clean dishes after cleaning everything else .
Frame19,Typical,Most,Practically all lawyers argue cases in a court of law .
Frame19,Typical,Few,Practically no lawyers argue cases in a court of law .
Frame19,Atypical,Most,Practically all lawyers argue politics in a court of law .
Frame19,Atypical,Few,Practically no lawyers argue politics in a court of law .
Frame20,Typical,Most,A large number of judges sentence murderers to life in prison .
Frame20,Typical,Few,A small number of judges sentence murderers to life in prison .
Frame20,Atypical,Most,A large number of judges sentence monks to life in prison .
Frame20,Atypical,Few,A small number of judges sentence monks to life in prison .
Frame21,Typical,Most,Nearly all waitresses bring cocktails to customers who get their attention .
Frame21,Typical,Few,Rather few waitresses bring cocktails to customers who get their attention .
Frame21,Atypical,Most,Nearly all waitresses bring napkins to customers who get their attention .
Frame21,Atypical,Few,Rather few waitresses bring napkins to customers who get their attention .
Frame22,Typical,Most,Lots of hunters shoot game during the hunting season .
Frame22,Typical,Few,Hardly any hunters shoot game during the hunting season .
Frame22,Atypical,Most,Lots of hunters shoot livestock during the hunting season .
Frame22,Atypical,Few,Hardly any hunters shoot livestock during the hunting season .
Frame23,Typical,Most,A lot of theaters show movies on saturday nights .
Frame23,Typical,Few,A very few theaters show movies on saturday nights .
Frame23,Atypical,Most,A lot of theaters show operas on saturday nights .
Frame23,Atypical,Few,A very few theaters show operas on saturday nights .
Frame24,Typical,Most,Many butchers slaughter cows and sell the meat .
Frame24,Typical,Few,Few butchers slaughter cows and sell the meat .
Frame24,Atypical,Most,Many butchers slaughter ducks and sell the meat .
Frame24,Atypical,Few,Few butchers slaughter ducks and sell the meat .
Frame25,Typical,Most,Most pickpockets steal wallets while the owner is distracted .
Frame25,Typical,Few,Few pickpockets steal wallets while the owner is distracted .
Frame25,Atypical,Most,Most pickpockets steal shoes while the owner is distracted .
Frame25,Atypical,Few,Few pickpockets steal shoes while the owner is distracted .
Frame26,Typical,Most,Almost all psychics read fortunes for their customers every day .
Frame26,Typical,Few,Almost no psychics read fortunes for their customers every day .
Frame26,Atypical,Most,Almost all psychics read news for their customers every day .
Frame26,Atypical,Few,Almost no psychics read news for their customers every day .
Frame27,Typical,Most,Practically all pilots fly planes on cloudy days .
Frame27,Typical,Few,Practically no pilots fly planes on cloudy days .
Frame27,Atypical,Most,Practically all pilots fly kites on cloudy days .
Frame27,Atypical,Few,Practically no pilots fly kites on cloudy days .
Frame28,Typical,Most,A large number of thieves take jewels from their victims when they can .
Frame28,Typical,Few,A small number of thieves take jewels from their victims when they can .
Frame28,Atypical,Most,A large number of thieves take jobs from their victims when they can .
Frame28,Atypical,Few,A small number of thieves take jobs from their victims when they can .
Frame29,Typical,Most,Nearly all professors teach classes while doing research .
Frame29,Typical,Few,Rather few professors teach classes while doing research .
Frame29,Atypical,Most,Nearly all professors teach friends while doing research .
Frame29,Atypical,Few,Rather few professors teach friends while doing research .
Frame30,Typical,Most,Lots of pitchers throw balls to warm up for a game .
Frame30,Typical,Few,Hardly any pitchers throw balls to warm up for a game .
Frame30,Atypical,Most,Lots of pitchers throw rocks to warm up for a game .
Frame30,Atypical,Few,Hardly any pitchers throw rocks to warm up for a game .
Frame31,Typical,Most,A lot of kidnappers blindfold captives to keep their identities secret .
Frame31,Typical,Few,A very few kidnappers blindfold captives to keep their identities secret .
Frame31,Atypical,Most,A lot of kidnappers blindfold infants to keep their identities secret .
Frame31,Atypical,Few,A very few kidnappers blindfold infants to keep their identities secret .
Frame32,Typical,Most,Many smugglers transport drugs into the united states .
Frame32,Typical,Few,Few smugglers transport drugs into the united states .
Frame32,Atypical,Most,Many smugglers transport umbrellas into the united states .
Frame32,Atypical,Few,Few smugglers transport umbrellas into the united states .
