SentenceFrame,Condition,Sentence
frame1,control,Kim recommended Shakespeare to everyone after she saw Hamlet .
frame1,syntactic_anomaly,Kim recommended Shakespeare everyone after she saw Hamlet .
frame1,semantic_anomaly,Kim recommended Shakespeare to signs after she saw Hamlet .
frame1,double_anomaly,Kim recommended Shakespeare signs after she saw Hamlet .
frame2,control,The chef entrusted the recipe to relatives before he left Italy .
frame2,syntactic_anomaly,The chef entrusted the recipe relatives before he left Italy .
frame2,semantic_anomaly,The chef entrusted the recipe to carrots before he left Italy .
frame2,double_anomaly,The chef entrusted the recipe carrots before he left Italy .
frame3,control,Karen submitted the article to Richard after she made corrections .
frame3,syntactic_anomaly,Karen submitted the article Richard after she made corrections .
frame3,semantic_anomaly,Karen submitted the article to blankets after she made corrections .
frame3,double_anomaly,Karen submitted the article blankets after she made corrections .
frame4,control,Clara declared her position to Janet at the faculty meeting .
frame4,syntactic_anomaly,Clara declared her position Janet at the faculty meeting .
frame4,semantic_anomaly,Clara declared her position to Jell-o at the faculty meeting .
frame4,double_anomaly,Clara declared her position Jell-o at the faculty meeting .
frame5,control,The mayor dedicated the award to veterans for their national loyalty .
frame5,syntactic_anomaly,The mayor dedicated the award veterans for their national loyalty .
frame5,semantic_anomaly,The mayor dedicated the award to bronze for their national loyalty .
frame5,double_anomaly,The mayor dedicated the award bronze for their national loyalty .
frame6,control,The teenager returned the book to K-Mart nearly two weeks ago .
frame6,syntactic_anomaly,The teenager returned the book K-Mart nearly two weeks ago .
frame6,semantic_anomaly,The teenager returned the book to kleenex nearly two weeks ago .
frame6,double_anomaly,The teenager returned the book kleenex nearly two weeks ago .
frame7,control,Jennifer proved something to everyone by solving the equation .
frame7,syntactic_anomaly,Jennifer proved something everyone by solving the equation .
frame7,semantic_anomaly,Jennifer proved something to platforms by solving the equation .
frame7,double_anomaly,Jennifer proved something platforms by solving the equation .
frame8,control,The sergeant delegated the duty to underlings while he was gone .
frame8,syntactic_anomaly,The sergeant delegated the duty underlings while he was gone .
frame8,semantic_anomaly,The sergeant delegated the duty to shoelaces while he was gone .
frame8,double_anomaly,The sergeant delegated the duty shoelaces while he was gone .
frame9,control,The minister explained the passage to worshipers during his lengthy sermon .
frame9,syntactic_anomaly,The minister explained the passage worshipers during his lengthy sermon .
frame9,semantic_anomaly,The minister explained the passage to watermelon during his lengthy sermon .
frame9,double_anomaly,The minister explained the passage watermelon during his lengthy sermon .
frame10,control,Catherine delivered the package to someone in the early evening .
frame10,syntactic_anomaly,Catherine delivered the package someone in the early evening .
frame10,semantic_anomaly,Catherine delivered the package to traditions in the early evening .
frame10,double_anomaly,Catherine delivered the package traditions in the early evening .
frame11,control,The doctor referred the patient to specialists when he complained of pain .
