SentenceFrame,Typicality,Sentence
Frame1,Typical,Prosecutors accuse defendants of committing a crime .
Frame1,Atypical,Prosecutors accuse sheriffs of committing a crime .
Frame2,Typical,Groupies follow singers around the country .
Frame2,Atypical,Groupies follow boys around the country .
Frame3,Typical,Postmen carry mail in their satchel .
Frame3,Atypical,Postmen carry oil in their satchel .
Frame4,Typical,Kittens chase mice if given the chance .
Frame4,Atypical,Kittens chase flies if given the chance .
Frame5,Typical,Doctors treat cancer as a serious condition .
Frame5,Atypical,Doctors treat hunger as a serious condition .
Frame6,Typical,Chefs cook pancakes for breakfast at roadside diners .
Frame6,Atypical,Chefs cook pears for breakfast at roadside diners .
Frame7,Typical,Boxers fight opponents in cities where there are large crowds .
Frame7,Atypical,Boxers fight lawsuits in cities where there are large crowds .
Frame8,Typical,Archaeologists find artifacts when they excavate ancient cities .
Frame8,Atypical,Archaeologists find gold when they excavate ancient cities .
Frame9,Typical,Farmers grow crops as their primary source of cash .
Frame9,Atypical,Farmers grow worms as their primary source of cash .
Frame10,Typical,Veterinarians help animals when they get injured .
Frame10,Atypical,Veterinarians help coyotes when they get injured .
Frame11,Typical,Lions hunt gazelles as they prowl the savanah .
Frame11,Atypical,Lions hunt bears as they prowl the savanah .
Frame12,Typical,Brides kiss grooms during their wedding ceremony .
Frame12,Atypical,Brides kiss babies during their wedding ceremony .
Frame13,Typical,Artists paint portraits to pay their bills .
Frame13,Atypical,Artists paint maps to pay their bills .
Frame14,Typical,Historians study articles written by their colleagues .
Frame14,Atypical,Historians study poetry written by their colleagues .
Frame15,Typical,Authors write books to make a living .
Frame15,Atypical,Authors write lists to make a living .
Frame16,Typical,Bands record albums throughout their careers .
Frame16,Atypical,Bands record hits throughout their careers .
Frame17,Typical,Cats scratch furniture if they are not declawed .
Frame17,Atypical,Cats scratch walls if they are not declawed .
Frame18,Typical,Janitors clean floors after cleaning everything else .
Frame18,Atypical,Janitors clean dishes after cleaning everything else .
Frame19,Typical,Lawyers argue cases in a court of law .
Frame19,Atypical,Lawyers argue politics in a court of law .
Frame20,Typical,Judges sentence murderers to life in prison .
Frame20,Atypical,Judges sentence monks to life in prison .
Frame21,Typical,Waitresses bring cocktails to customers who get their attention .
Frame21,Atypical,Waitresses bring napkins to customers who get their attention .
Frame22,Typical,Hunters shoot game during the hunting season .
Frame22,Atypical,Hunters shoot livestock during the hunting season .
Frame23,Typical,Theaters show movies on saturday nights .
Frame23,Atypical,Theaters show operas on saturday nights .
Frame24,Typical,Butchers slaughter cows and sell the meat .
Frame24,Atypical,Butchers slaughter ducks and sell the meat .
Frame25,Typical,Pickpockets steal wallets while the owner is distracted .
Frame25,Atypical,Pickpockets steal shoes while the owner is distracted .
Frame26,Typical,Psychics read fortunes for their customers every day .
Frame26,Atypical,Psychics read news for their customers every day .
Frame27,Typical,Pilots fly planes on cloudy days .
Frame27,Atypical,Pilots fly kites on cloudy days .
Frame28,Typical,Thieves take jewels from their victims when they can .
Frame28,Atypical,Thieves take jobs from their victims when they can .
Frame29,Typical,Professors teach classes while doing research .
Frame29,Atypical,Professors teach friends while doing research .
Frame30,Typical,Pitchers throw balls to warm up for a game .
Frame30,Atypical,Pitchers throw rocks to warm up for a game .
Frame31,Typical,Kidnappers blindfold captives to keep their identities secret .
Frame31,Atypical,Kidnappers blindfold infants to keep their identities secret .
Frame32,Typical,Smugglers transport drugs into the united states .
Frame32,Atypical,Smugglers transport umbrellas into the united states .
Frame33,Typical,Tourists visit museums on their vacation .
Frame33,Atypical,Tourists visit mines on their vacation .
Frame34,Typical,Sentries guard bases at all hours of the night .
Frame34,Atypical,Sentries guard dumpsters at all hours of the night .
Frame35,Typical,Telemarketers call people to tell them about new products .
Frame35,Atypical,Telemarketers call inmates to tell them about new products .
Frame36,Typical,Punters kick footballs for practice on their days off .
Frame36,Atypical,Punters kick boxes for practice on their days off .
Frame37,Typical,Shoppers buy groceries at the local supermarket .
Frame37,Atypical,Shoppers buy ammunition at the local supermarket .
Frame38,Typical,Speakers address audiences using a microphone .
Frame38,Atypical,Speakers address letters using a microphone .
Frame39,Typical,Armies battle invaders and try to drive them out of the country .
Frame39,Atypical,Armies battle immigrants and try to drive them out of the country .
Frame40,Typical,Gardeners plant flowers to make their garden prettier .
Frame40,Atypical,Gardeners plant bombs to make their garden prettier .
Frame41,Typical,Architects design buildings with lots of windows .
Frame41,Atypical,Architects design closets with lots of windows .
Frame42,Typical,Negotiators settle disputes as quickly as possible .
Frame42,Atypical,Negotiators settle payments as quickly as possible .
Frame43,Typical,Witnesses describe robbers as being large and menacing .
Frame43,Atypical,Witnesses describe tellers as being large and menacing .
Frame44,Typical,Couriers deliver packages sealed in boxes .
Frame44,Atypical,Couriers deliver organs sealed in boxes .
Frame45,Typical,Brokers sell stocks in after-hours trading .
Frame45,Atypical,Brokers sell curtains in after-hours trading .
Frame46,Typical,Mechanics fix cars that have broken parts .
Frame46,Atypical,Mechanics fix toys that have broken parts .
Frame47,Typical,Joggers run laps to stay in shape .
Frame47,Atypical,Joggers run monthly to stay in shape .
Frame48,Typical,Cleaners wash clothes using strong laundry soap .
Frame48,Atypical,Cleaners wash rags using strong laundry soap .
Frame49,Typical,Squirrels gather nuts and store them for the winter .
Frame49,Atypical,Squirrels gather nails and store them for the winter .
Frame50,Typical,Investors loan money to businesses which are profitable .
Frame50,Atypical,Investors loan papers to businesses which are profitable .
Frame51,Typical,Morticians arrange funerals after a lot of planning .
Frame51,Atypical,Morticians arrange parties after a lot of planning .
Frame52,Typical,Actors perform plays on stage .
Frame52,Atypical,Actors perform surgery on stage .
