Condition,SentenceFrame,Sentence
anomalous,frame0,The actress predicted that he would get the job .
control,frame0,The actress predicted that she would get the job .
anomalous,frame1,The aunt heard that he had won the lottery .
control,frame1,The aunt heard that she had won the lottery .
anomalous,frame2,The mother believed that he was sick again .
control,frame2,The mother believed that she was sick again .
anomalous,frame3,The princess decided that he would marry the American .
control,frame3,The princess decided that she would marry the American .
anomalous,frame4,The queen knew that he would abdicate the throne .
control,frame4,The queen knew that she would abdicate the throne .
anomalous,frame5,The girl hoped that he would be asked to dance .
control,frame5,The girl hoped that she would be asked to dance .
anomalous,frame6,The nun believed that he would be asked to pray .
control,frame6,The nun believed that she would be asked to pray .
anomalous,frame7,The stepmother denied that he was disliked by the children .
control,frame7,The stepmother denied that she was disliked by the children .
anomalous,frame8,The milkmaid heard that he would be given a raise .
control,frame8,The milkmaid heard that she would be given a raise .
anomalous,frame9,The waitress admitted that he had stolen the money .
control,frame9,The waitress admitted that she had stolen the money .
anomalous,frame10,The housewife decided that he would go shopping today .
control,frame10,The housewife decided that she would go shopping today .
anomalous,frame11,The niece hoped that he would get to see her cousin .
control,frame11,The niece hoped that she would get to see her cousin .
anomalous,frame12,The sister admitted that he had copied the homework .
control,frame12,The sister admitted that she had copied the homework .
anomalous,frame13,The hostess hoped that he had invited the right people .
control,frame13,The hostess hoped that she had invited the right people .
anomalous,frame14,The showgirl admitted that he needed to work on the dance routine .
control,frame14,The showgirl admitted that she needed to work on the dance routine .
control,frame15,The uncle hoped that he had picked out a good wine .
anomalous,frame15,The uncle hoped that she had picked out a good wine .
control,frame16,The bachelor predicted that he would feel nervous during the wedding .
anomalous,frame16,The bachelor predicted that she would feel nervous during the wedding .
control,frame17,The chairman insisted that he would increase the company's performance .
anomalous,frame17,The chairman insisted that she would increase the company's performance .
control,frame18,The father decided that he would be lenient with his daughter .
anomalous,frame18,The father decided that she would be lenient with his daughter .
control,frame19,The prince forgot that he had to attend the state function .
anomalous,frame19,The prince forgot that she had to attend the state function .
control,frame20,The king noticed that he had lost the support of the peasants .
anomalous,frame20,The king noticed that she had lost the support of the peasants .
control,frame21,The boy hoped that he could attend summer camp this year .
