Sentence;TargetWord;Surprisal
The murder had been witnessing by the three bystanders .;witnessing;18.46198272705078
The murder had been witnessed in the dark .;witnessed;7.795145511627197
The bystanders had been witnessing the crime .;witnessing;15.237896919250488
The unpleasant cough syrup was witnessing in the dark .;witnessing;19.700984954833984
Three more martinis were ordering by Laurie 's sister .;ordering;19.953182220458984
Three more martinis were ordered repeatedly .;ordered;8.874645233154297
The regular customers were ordering quiche , as usual .;ordering;16.78752899169922
The rough part of the wood was ordering late .;ordering;20.62593650817871
The quality of Karla 's work was evaluating frequently .;evaluating;21.19892692565918
The quality of Karla 's work was evaluated frequently .;evaluated;13.019984245300293
The engineers were evaluating the success of the new device .;evaluating;16.02274513244629
The old lady 's purse had been evaluating Nelson 's idea .;evaluating;23.096298217773438
The legal contract had been signing falsely .;signing;17.797231674194336
The legal contract had been signed by the family .;signed;4.5160441398620605
The state 's governor had been signing new legislation .;signing;14.668636322021484
An appointment was signing falsely .;signing;20.1272029876709
The vocabulary list was memorized well .;memorized;13.570945739746094
The firewood had been chopping poorly .;chopping;17.954425811767578
The firewood had been chopped by Jen 's grandfather .;chopped;10.857260704040527
Jen 's grandfather had been chopping the firewood .;chopping;17.3161563873291
Mark 's wrinkly shirts were chopping vegetables .;chopping;22.044002532958984
Lisa 's phone had been disconnected last month .;disconnected;8.797354698181152
Wendy 's muddy car was washing the boys .;washing;16.529285430908203
Wendy 's muddy car was washed wearily .;washed;10.539471626281738
Wendy and Harriet were washing the muddy car .;washing;18.728347778320312
Frank 's loan application had been washing the used pencil .;washing;20.734615325927734
The library books had been borrowing the graduate student .;borrowing;17.857498168945312
The library books had been borrowed by the graduate student .;borrowed;9.656664848327637
Katie and Lara had been borrowing dozens of books about botany from the library .;borrowing;17.54710578918457
The tragic mistake was borrowing in a hurry .;borrowing;20.87770652770996
The dark , underwater cave was exploring by the divers .;exploring;17.942609786987305
The dark , underwater cave was explored by the divers .;explored;10.354181289672852
The cautious scuba divers were exploring the underwater cave .;exploring;12.800006866455078
The phone bill had been exploring at the zoo .;exploring;18.714740753173828
The unpleasant cough syrup was swallowing the boy .;swallowing;21.073793411254883
The unpleasant cough syrup was swallowed by the boy .;swallowed;11.906055450439453
The huge adult alligator had been swallowing fish by the bucket .;swallowing;19.27730369567871
The murder had been swallowing with disgust .;swallowing;21.982637405395508
The pizza had been delivering once more .;delivering;16.052461624145508
The pizza had been delivered by Antonio himself .;delivered;8.295592308044434
The exhausted messenger had been delivering packages all over town .;delivering;13.111425399780273
A genetic mutation was delivering once more .;delivering;20.502412796020508
Frank 's loan application had been approving by the bank .;approving;18.814132690429688
Frank 's loan application had been approved anyways .;approved;6.08233118057251
The board of directors had been approving too many expensive projects .;approving;14.518407821655273
Wendy 's muddy car was approving the boy 's request .;approving;22.06064224243164
The cheap products had been manufacturing a Belgian firm .;manufacturing;13.577006340026855
The cheap products had been manufactured by a Belgian firm .;manufactured;7.037819862365723
The auto company had been manufacturing parts in China .;manufacturing;10.857402801513672
A drawing of the house had been manufacturing at a factory .;manufacturing;19.98263168334961
Their secret conversation had been overheard by a surprised neighbor .;overheard;9.576325416564941
A package had been receiving by the secretary in the office .;receiving;14.854948043823242
A package had been received by the secretary in the office .;received;10.447038650512695
The secretary had been receiving flowers all day .;receiving;11.613707542419434
The noises in the attic had been receiving assistance from the government .;receiving;16.984323501586914
The club 's rules had been violating Richard .;violating;17.278030395507812
The club 's rules had been violated only twice .;violated;9.433991432189941
The rebel had been violating the rules .;violating;14.866257667541504
Thirty pounds of potatoes had been violating only twice .;violating;19.78954315185547
A new medication had been prescribing the physician .;prescribing;16.387279510498047
A new medication had been prescribed by the physician .;prescribed;9.609970092773438
The new doctor had been prescribing powerful painkillers for Jelena 's sore knee .;prescribing;15.787739753723145
The portrait of Napoleon had been prescribing with caution .;prescribing;21.47612190246582
The wheat crops had been harvesting by the local farmers .;harvesting;13.827089309692383
The wheat crops had been harvested after the rain .;harvested;5.794283866882324
The local farmers had been harvesting the corn all week .;harvesting;12.729576110839844
The elevator button had been harvesting after the rain .;harvesting;20.586410522460938
The musical piece was composing by Beethoven in 1799 .;composing;17.37912940979004
The musical piece was composed in a dream .;composed;5.147348403930664
Ludwig von Beethoven was composing symphonies as a teenager .;composing;11.802788734436035
The bank had been composing in a dream .;composing;15.542292594909668
The old lady 's purse had been snatched with speed .;snatched;12.810057640075684
Olson 's bulging suitcase had been packing his assistant .;packing;16.5606746673584
Olson 's bulging suitcase had been packed for the trip .;packed;11.51427936553955
The excited vacationers had been packing their suitcases when the hurricane hit .;packing;15.067502975463867
Stormy weather had been packing for the trip .;packing;18.534446716308594
Several spelling errors were noticing the careful editor .;noticing;26.96912956237793
Several spelling errors were noticed by the careful editor .;noticed;10.432173728942871
Brittany 's close friends were noticing changes in her personality .;noticing;18.00619888305664
The final destination had been noticing too late .;noticing;20.347736358642578
An illegal weapon had been smuggling only once .;smuggling;16.2410888671875
An illegal weapon had been smuggled only once .;smuggled;6.671987056732178
The drug dealer had been smuggling heroin into Canada .;smuggling;12.044102668762207
Cleopatra 's beauty was smuggling only once .;smuggling;18.195932388305664
The leftover food was discarding wastefully .;discarding;20.774580001831055
The leftover food was discarded wastefully .;discarded;8.656108856201172
The campers were discarding the leftover food .;discarding;17.758373260498047
The sleek new building was discarding wastefully .;discarding;24.406024932861328
Thirty pounds of potatoes had been peeled carefully .;peeled;12.249443054199219
The roast lamb had been carving by a servant .;carving;18.333059310913086
The roast lamb had been carved by a servant .;carved;12.949260711669922
The butcher had been carving the meat .;carving;17.841264724731445
Janet 's houseplants were carving before dinner .;carving;18.808349609375
Cleopatra 's beauty was admiring many people .;admiring;18.848464965820312
Cleopatra 's beauty was admired always .;admired;10.470165252685547
The men were admiring the beautiful woman from a distance .;admiring;15.607008934020996
An illegal weapon had been admiring always .;admiring;25.482925415039062
A wet snowball had been tossing by the girls through the window .;tossing;18.33690643310547
A wet snowball had been tossed in anger .;tossed;11.115018844604492
The baseball players had been tossing the ball around the infield .;tossing;14.692211151123047
Their secret conversation had been tossing a steak on the grill .;tossing;19.714879989624023
The sealed envelope was opening the judge .;opening;16.880287170410156
The sealed envelope was opened without permission .;opened;9.100987434387207
Tuxedoed waiters were opening bottles of champagne for the toast .;opening;15.181194305419922
The men 's faces had been opening without permission .;opening;16.213481903076172
The man 's beard had been shaving twice a day .;shaving;19.089391708374023
The man 's beard had been shaved twice a day .;shaved;6.99931001663208
His uncle Ralph had been shaving his beard off .;shaving;19.171268463134766
The popular amusement park is shaving twice a day .;shaving;22.20497703552246
The elevator button had been pressing slowly .;pressing;11.136641502380371
The elevator button had been pressed by the attendant .;pressed;6.321985721588135
The attendant had been pressing the buttons .;pressing;14.184367179870605
The wheat crops had been pressing slowly .;pressing;14.550811767578125
The winning lottery numbers had been announcing the TV news .;announcing;17.30280876159668
The winning lottery numbers had been announced by the TV news .;announced;7.673239231109619
The flight attendant had been announcing the reason for the delay .;announcing;16.627092361450195
The tarnished silverware was announcing on the television .;announcing;17.84231185913086
The victim 's body had been identifying at the morgue .;identifying;16.937152862548828
The victim 's body had been identified by the family members .;identified;6.969099998474121
The laboratory technicians had been identifying the chemical .;identifying;12.343363761901855
The movie was identifying rare fish for the divers .;identifying;20.672218322753906
The hearty meal was devoured with gusto .;devoured;16.360885620117188
The overgrown shrubs were trimming regularly .;trimming;21.61836814880371
The overgrown shrubs were trimmed by a gardener .;trimmed;12.629288673400879
A gardener was trimming the overgrown shrubbery .;trimming;17.721031188964844
The alarm clock had been trimming regularly .;trimming;21.164003372192383
Wilson 's unreasonable proposal was rejecting by the boss .;rejecting;15.023529052734375
Wilson 's unreasonable proposal was rejected at the hospital .;rejected;5.388858795166016
The admissions committee was rejecting nearly every application .;rejecting;16.60053825378418
The rare bird 's behavior was rejecting all offers .;rejecting;19.898027420043945
Hathaway 's gigantic fortune had been inheriting by his daughters .;inheriting;20.04193878173828
Hathaway 's gigantic fortune had been inherited by his daughters .;inherited;10.564360618591309
Generations of aristocratic Englishmen have been inheriting their fortunes .;inheriting;17.386571884155273
The strange mystery had been inheriting the estate from her grandmother .;inheriting;22.428916931152344
All of her money had been spending before the wedding .;spending;13.682750701904297
All of her money had been spent before the wedding .;spent;3.940843105316162
The shopping fanatic had been spending all her money in Bloomingdales .;spending;11.58773136138916
Patty 's overgrown lawn was spending its time on the beach .;spending;16.584253311157227
An appointment was scheduling by the secretary .;scheduling;21.788211822509766
An appointment was scheduled by the secretary .;scheduled;9.746898651123047
The secretary was scheduling new appointments for the afternoon .;scheduling;19.529924392700195
The legal contract had been scheduling for next week .;scheduling;23.253381729125977
The men 's faces had been photographing by a security camera .;photographing;20.617887496948242
The men 's faces had been photographed by a security camera .;photographed;8.769392013549805
The intrusive reporter had been photographing the celebrities at the party .;photographing;14.39907455444336
