Sentence;TargetWord;Surprisal
She put on her high heeled boots .;boots;13.458585739135742
She put on her high heeled shoes .;shoes;11.836923599243164
The cub scouts needed a new den mother .;mother;20.492074966430664
The cub scouts needed a new den chair .;chair;16.702274322509766
During the volley someone stepped on Joe 's watch .;watch;8.850748062133789
During the volley someone stepped on Joe 's foot .;foot;7.518992900848389
The pizza was too hot to chew .;chew;11.217545509338379
The pizza was too hot to eat .;eat;7.358088493347168
The paint turned out to be the wrong consistency .;consistency;16.56179428100586
The paint turned out to be the wrong color .;color;5.361525535583496
The wild birds at the zoo are kept in captivity .;captivity;3.2940585613250732
The wild birds at the zoo are kept in cages .;cages;6.408331394195557
The ship disappeared into the thick mist .;mist;8.632277488708496
The ship disappeared into the thick fog .;fog;3.385850429534912
Nothing can beat a bowl of hot broth .;broth;15.728937149047852
Nothing can beat a bowl of hot soup .;soup;9.759803771972656
All the guests had a very good excuse .;excuse;12.001797676086426
All the guests had a very good time .;time;5.634375095367432
The dirty clothes were piled up in the laundry hamper .;hamper;27.2589168548584
The dirty clothes were piled up in the laundry basket .;basket;10.053123474121094
It 's hard to admit when one is asleep .;asleep;10.563417434692383
It 's hard to admit when one is wrong .;wrong;9.570831298828125
The mail should get here very shortly .;shortly;9.188139915466309
The mail should get here very soon .;soon;6.270073413848877
She 's afraid of deep water because she can 't see .;see;13.663870811462402
She 's afraid of deep water because she can 't swim .;swim;13.721857070922852
One of the scouts did not know the way and got hurt .;hurt;9.989745140075684
One of the scouts did not know the way and got lost .;lost;8.3413667678833
The mother fed the newborn infant .;infant;5.794493675231934
The mother fed the newborn baby .;baby;4.2277512550354
At first the woman refused but she changed her clothes .;clothes;6.0601019859313965
At first the woman refused but she changed her mind .;mind;0.7407088875770569
She was docked one hour 's pay for coming to work drunk .;drunk;16.776290893554688
She was docked one hour 's pay for coming to work late .;late;10.754491806030273
They heated the pool with solar power .;power;4.633842468261719
They heated the pool with solar energy .;energy;3.518806219100952
The baby weighed six pounds at noon .;noon;12.141551971435547
The baby weighed six pounds at birth .;birth;8.33724594116211
I added my name to the top of the wall.;the;0.4057118594646454
I added my name to the top of the list.;the;0.4057118594646454
The fertilizer enriched the soil .;soil;6.591896057128906
Our guests should be arriving hungry .;hungry;15.340682029724121
Our guests should be arriving soon .;soon;10.993195533752441
The clerk put the groceries in the shopping carts .;carts;10.44658374786377
The clerk put the groceries in the shopping bags .;bags;10.818552017211914
The children went outside to shower .;shower;13.870315551757812
The children went outside to play .;play;6.299601078033447
The game was called when it started to lightning .;lightning;21.68077850341797
The game was called when it started to rain .;rain;11.354130744934082
The prisoners were planning their picnic .;picnic;17.225574493408203
The prisoners were planning their escape .;escape;4.12714958190918
The rude waiter was not left a big clientele .;clientele;14.621342658996582
The rude waiter was not left a big tip .;tip;16.374309539794922
The office held a new year 's eve party .;party;13.71359634399414
He wondered if the storm had done much harm .;harm;6.172686576843262
He wondered if the storm had done much damage .;damage;3.3609917163848877
Next year my little son will be going to college .;college;10.662668228149414
Next year my little son will be going to school .;school;8.405526161193848
They went as far as they dared .;dared;13.189661979675293
They went as far as they could .;could;2.188187599182129
Mary looked at her watch to check the band .;band;10.400178909301758
Mary looked at her watch to check the time .;time;9.40134048461914
He scraped the cold food from the dinner platter .;platter;18.404687881469727
He scraped the cold food from the dinner plate .;plate;12.494183540344238
Larry made a full pot of tea .;tea;6.270264625549316
Larry made a full pot of coffee .;coffee;7.112199783325195
George had been fired but he couldn‘t tell his staff .;staff;8.287923812866211
George had been fired but he couldn‘t tell his wife .;wife;4.0730767250061035
The mole lived in a hole in the pipe .;pipe;14.007025718688965
The mole lived in a hole in the ground .;ground;5.317244529724121
Al wrote her a love note .;note;12.24802303314209
Al wrote her a love letter .;letter;4.174046516418457
The bad boy was sent to his counselor .;counselor;14.535079002380371
The bad boy was sent to his room .;room;6.033349990844727
When the shooting started they ran for help .;help;10.679488182067871
When the shooting started they ran for cover .;cover;15.637114524841309
The barbells the strong man lifted were very rusty .;rusty;14.624703407287598
The barbells the strong man lifted were very heavy .;heavy;6.718192100524902
He studied a long time so he would pass his tests.;his;3.7349042892456055
He studied a long time so he would pass his exams .;exams;4.029784679412842
The parking lot was full of expensive foreign cars .;cars;5.026033878326416
They sat together without speaking a single syllable.;single;7.109828472137451
