Condition,Context,Experiment1,Experiment2,Sentence
Attraction Violation,1,Y,Y,The murder had been witnessing by the three bystanders .
Passive Control,1,Y,Y,The murder had been witnessed in the dark .
Active Control,1,Y,N,The bystanders had been witnessing the crime .
No-Attraction Violation,1,N,Y,The unpleasant cough syrup was witnessing in the dark .
Attraction Violation,2,Y,Y,Patty 's overgrown lawn was mowing the boy next door .
Passive Control,2,Y,Y,Patty 's overgrown lawn was mowed only last week .
Active Control,2,Y,N,Patty 's teenage son was mowing the lawn .
No-Attraction Violation,2,N,Y,All of her money had been mowing the grass .
Attraction Violation,3,Y,Y,Three more martinis were ordering by Laurie 's sister .
Passive Control,3,Y,Y,Three more martinis were ordered repeatedly .
Active Control,3,Y,N,"The regular customers were ordering quiche , as usual ."
No-Attraction Violation,3,N,Y,The rough part of the wood was ordering late .
Attraction Violation,4,Y,Y,The quality of Karla 's work was evaluating frequently .
Passive Control,4,Y,Y,The quality of Karla 's work was evaluated frequently .
Active Control,4,Y,N,The engineers were evaluating the success of the new device .
No-Attraction Violation,4,N,Y,The old lady 's purse had been evaluating Nelson 's idea .
Attraction Violation,5,Y,Y,The legal contract had been signing falsely .
Passive Control,5,Y,Y,The legal contract had been signed by the family .
Active Control,5,Y,N,The state 's governor had been signing new legislation .
No-Attraction Violation,5,N,Y,An appointment was signing falsely .
Attraction Violation,6,Y,Y,The vocabulary list was memorizing well .
Passive Control,6,Y,Y,The vocabulary list was memorized well .
Active Control,6,Y,N,The medical students were memorizing sample exam questions all night .
No-Attraction Violation,6,N,Y,The simple coffin was memorizing the lines of the poem .
Attraction Violation,7,Y,Y,The firewood had been chopping poorly .
Passive Control,7,Y,Y,The firewood had been chopped by Jen 's grandfather .
Active Control,7,Y,N,Jen 's grandfather had been chopping the firewood .
No-Attraction Violation,7,N,Y,Mark 's wrinkly shirts were chopping vegetables .
Attraction Violation,8,Y,Y,Lisa 's phone had been disconnecting last month .
Passive Control,8,Y,Y,Lisa 's phone had been disconnected last month .
Active Control,8,Y,N,The electrician had been disconnecting the machine 's power source .
No-Attraction Violation,8,N,Y,Mother Theresa 's death was disconnecting the two cables .
Attraction Violation,9,Y,Y,Wendy 's muddy car was washing the boys .
Passive Control,9,Y,Y,Wendy 's muddy car was washed wearily .
Active Control,9,Y,N,Wendy and Harriet were washing the muddy car .
No-Attraction Violation,9,N,Y,Frank 's loan application had been washing the used pencil .
Attraction Violation,10,Y,Y,The library books had been borrowing the graduate student .
Passive Control,10,Y,Y,The library books had been borrowed by the graduate student .
Active Control,10,Y,N,Katie and Lara had been borrowing dozens of books about botany from the library .
No-Attraction Violation,10,N,Y,The tragic mistake was borrowing in a hurry .
Attraction Violation,11,Y,Y,"The dark , underwater cave was exploring by the divers ."
Passive Control,11,Y,Y,"The dark , underwater cave was explored by the divers ."
Active Control,11,Y,N,The cautious scuba divers were exploring the underwater cave .
No-Attraction Violation,11,N,Y,The phone bill had been exploring at the zoo .
Attraction Violation,12,Y,Y,The unpleasant cough syrup was swallowing the boy .
Passive Control,12,Y,Y,The unpleasant cough syrup was swallowed by the boy .
Active Control,12,Y,N,The huge adult alligator had been swallowing fish by the bucket .
No-Attraction Violation,12,N,Y,The murder had been swallowing with disgust .
Attraction Violation,13,Y,Y,The pizza had been delivering once more .
Passive Control,13,Y,Y,The pizza had been delivered by Antonio himself .
Active Control,13,Y,N,The exhausted messenger had been delivering packages all over town .
No-Attraction Violation,13,N,Y,A genetic mutation was delivering once more .
Attraction Violation,14,Y,Y,Frank 's loan application had been approving by the bank .
Passive Control,14,Y,Y,Frank 's loan application had been approved anyways .
Active Control,14,Y,N,The board of directors had been approving too many expensive projects .
No-Attraction Violation,14,N,Y,Wendy 's muddy car was approving the boy 's request .
Attraction Violation,15,Y,Y,The cheap products had been manufacturing a Belgian firm .
Passive Control,15,Y,Y,The cheap products had been manufactured by a Belgian firm .
Active Control,15,Y,N,The auto company had been manufacturing parts in China .
No-Attraction Violation,15,N,Y,A drawing of the house had been manufacturing at a factory .
Attraction Violation,16,Y,Y,Their secret conversation had been overhearing by a surprised neighbor .
Passive Control,16,Y,Y,Their secret conversation had been overheard by a surprised neighbor .
Active Control,16,Y,N,The annoyed resident had been overhearing his neighbor 's phone conversations through the wall .
No-Attraction Violation,16,N,Y,A wet snowball had been overhearing despite the precautions .
Attraction Violation,17,Y,Y,The rough part of the wood was sanding to perfection.
Passive Control,17,Y,Y,The rough part of the wood was sanded by the carpenter .
Active Control,17,Y,N,The skillful carpenter was sanding the rough edge of the wood .
No-Attraction Violation,17,N,Y,Three more martinis were sanding the chair .
Attraction Violation,18,Y,Y,A package had been receiving by the secretary in the office .
Passive Control,18,Y,Y,A package had been received by the secretary in the office .
Active Control,18,Y,N,The secretary had been receiving flowers all day .
No-Attraction Violation,18,N,Y,The noises in the attic had been receiving assistance from the government .
Attraction Violation,19,Y,Y,The club 's rules had been violating Richard .
Passive Control,19,Y,Y,The club 's rules had been violated only twice .
Active Control,19,Y,N,The rebel had been violating the rules .
No-Attraction Violation,19,N,Y,Thirty pounds of potatoes had been violating only twice .
Attraction Violation,20,Y,Y,A new medication had been prescribing the physician .
Passive Control,20,Y,Y,A new medication had been prescribed by the physician .
Active Control,20,Y,N,The new doctor had been prescribing powerful painkillers for Jelena 's sore knee .
No-Attraction Violation,20,N,Y,The portrait of Napoleon had been prescribing with caution .
Attraction Violation,21,Y,Y,The wheat crops had been harvesting by the local farmers .
Passive Control,21,Y,Y,The wheat crops had been harvested after the rain .
Active Control,21,Y,N,The local farmers had been harvesting the corn all week .
