Condition,SentenceFrame,Sentence
control,frame0,The horse raced down the track and won the race easily .
anomalous,frame0,The horse raced down the track and bargained the race easily .
control,frame1,The boat sailed down the river and sank during the storm .
anomalous,frame1,The boat sailed down the river and coughed during the storm .
control,frame2,The car rolled down the hill and stopped when it hit a tree .
anomalous,frame2,The car rolled down the hill and complained when it hit a tree .
control,frame3,The rocket shot into the sky and exploded in a fireball .
anomalous,frame3,The rocket shot into the sky and laughed in a fireball .
control,frame4,The team rested for several days and won the championship .
anomalous,frame4,The team rested for several days and burned the championship .
control,frame5,The executive showed the report and frowned after the meeting .
anomalous,frame5,The executive showed the report and floated after the meeting .
control,frame6,The applicant refused the job and complained to the government agency .
anomalous,frame6,The applicant refused the job and exploded to the government agency .
control,frame7,The man paid for the job and left his work gloves behind .
anomalous,frame7,The man paid for the job and popped his work gloves behind .
control,frame8,The runner expected to win and lost the race instead .
anomalous,frame8,The runner expected to win and ducked the race instead .
control,frame9,The little girl read the sad story and cried about it for days .
anomalous,frame9,The little girl read the sad story and cracked about it for days .
control,frame10,The man told the truth and resigned in disgrace .
anomalous,frame10,The man told the truth and milked in disgrace .
control,frame11,The doctor rushed to the scene and helped to revive the victim .
anomalous,frame11,The doctor rushed to the scene and saluted to revive the victim .
control,frame12,The actress called from New York and complained to her agent .
anomalous,frame12,The actress called from New York and sank to her agent .
control,frame13,The lawyer hurried through the proceedings and blundered during his presentation .
anomalous,frame13,The lawyer hurried through the proceedings and hit during his presentation .
control,frame14,The fielder tossed the ball and missed his chance to tag out the runner .
anomalous,frame14,The fielder tossed the ball and unpacked his chance to tag out the runner .
control,frame15,The student lectured on honesty and lied about his grades .
anomalous,frame15,The student lectured on honesty and docked about his grades .
control,frame16,The corporation moved to New Jersey and grew very rapidly .
anomalous,frame16,The corporation moved to New Jersey and sneezed very rapidly .
control,frame17,The player passed the ball and scored the touchdown .
anomalous,frame17,The player passed the ball and slept the touchdown .
control,frame18,The man phoned from Chicago and volunteered for the job .
anomalous,frame18,The man phoned from Chicago and collided for the job .
control,frame19,The boy told the joke and laughed at the punch line .
anomalous,frame19,The boy told the joke and dropped at the punch line .
control,frame20,The spy watched for several days and escaped over the fence .
anomalous,frame20,The spy watched for several days and barked over the fence .
control,frame21,The man mailed the letter and waited for a reply .
anomalous,frame21,The man mailed the letter and steered for a reply .
control,frame22,The patient left in pain and died the next day .
anomalous,frame22,The patient left in pain and floated the next day .
control,frame23,The dealer sold the car and complained about the transmission .
anomalous,frame23,The dealer sold the car and sank about the transmission .
control,frame24,The company sued for damages and lost the case .
anomalous,frame24,The company sued for damages and resigned the case .
control,frame25,The politician read the funny story and laughed for several minutes .
anomalous,frame25,The politician read the funny story and cried for several minutes .
control,frame26,The lady sent the flowers and blushed when she thought about them .
anomalous,frame26,The lady sent the flowers and popped when she thought about them .
control,frame27,The employee asked to retire and resigned from the company .
anomalous,frame27,The employee asked to retire and guessed from the company .
control,frame28,The barge floated across the lake and docked next to the warehouse .
anomalous,frame28,The barge floated across the lake and laughed next to the warehouse .
